survived,pclass,sex,age,sibsp,parch,fare,embark_town,alone
0,3,male,22.0,1,0,7.25,Southampton,False
1,1,female,38.0,1,0,71.2833,Cherbourg,False
1,3,female,26.0,0,0,7.925,Southampton,True
1,1,female,35.0,1,0,53.1,Southampton,False
0,3,male,35.0,0,0,8.05,Southampton,True
0,3,male,29.809792899408283,0,0,8.4583,Queenstown,True
0,1,male,54.0,0,0,51.8625,Southampton,True
0,3,male,2.0,3,1,21.075,Southampton,False
1,3,female,27.0,0,2,11.1333,Southampton,False
1,2,female,14.0,1,0,30.0708,Cherbourg,False
1,3,female,4.0,1,1,16.7,Southampton,False
1,1,female,58.0,0,0,26.55,Southampton,True
0,3,male,20.0,0,0,8.05,Southampton,True
0,3,male,39.0,1,5,31.275,Southampton,False
0,3,female,14.0,0,0,7.8542,Southampton,True
1,2,female,55.0,0,0,16.0,Southampton,True
0,3,male,2.0,4,1,29.125,Queenstown,False
1,2,male,29.809792899408283,0,0,13.0,Southampton,True
0,3,female,31.0,1,0,18.0,Southampton,False
1,3,female,29.809792899408283,0,0,7.225,Cherbourg,True
0,2,male,35.0,0,0,26.0,Southampton,True
1,2,male,34.0,0,0,13.0,Southampton,True
1,3,female,15.0,0,0,8.0292,Queenstown,True
1,1,male,28.0,0,0,35.5,Southampton,True
0,3,female,8.0,3,1,21.075,Southampton,False
1,3,female,38.0,1,5,31.3875,Southampton,False
0,3,male,29.809792899408283,0,0,7.225,Cherbourg,True
0,1,male,19.0,3,2,263.0,Southampton,False
1,3,female,29.809792899408283,0,0,7.8792,Queenstown,True
0,3,male,29.809792899408283,0,0,7.8958,Southampton,True
0,1,male,40.0,0,0,27.7208,Cherbourg,True
1,1,female,29.809792899408283,1,0,146.5208,Cherbourg,False
1,3,female,29.809792899408283,0,0,7.75,Queenstown,True
0,2,male,66.0,0,0,10.5,Southampton,True
0,1,male,28.0,1,0,82.1708,Cherbourg,False
0,1,male,42.0,1,0,52.0,Southampton,False
1,3,male,29.809792899408283,0,0,7.2292,Cherbourg,True
0,3,male,21.0,0,0,8.05,Southampton,True
0,3,female,18.0,2,0,18.0,Southampton,False
1,3,female,14.0,1,0,11.2417,Cherbourg,False
0,3,female,40.0,1,0,9.475,Southampton,False
0,2,female,27.0,1,0,21.0,Southampton,False
0,3,male,29.809792899408283,0,0,7.8958,Cherbourg,True
1,2,female,3.0,1,2,41.5792,Cherbourg,False
1,3,female,19.0,0,0,7.8792,Queenstown,True
0,3,male,29.809792899408283,0,0,8.05,Southampton,True
0,3,male,29.809792899408283,1,0,15.5,Queenstown,False
0,3,male,29.809792899408283,2,0,21.6792,Cherbourg,False
0,3,female,18.0,1,0,17.8,Southampton,False
0,3,male,7.0,4,1,39.6875,Southampton,False
0,3,male,21.0,0,0,7.8,Southampton,True
1,1,female,49.0,1,0,76.7292,Cherbourg,False
1,2,female,29.0,1,0,26.0,Southampton,False
0,1,male,65.0,0,1,61.9792,Cherbourg,False
1,1,male,29.809792899408283,0,0,35.5,Southampton,True
1,2,female,21.0,0,0,10.5,Southampton,True
0,3,male,28.5,0,0,7.2292,Cherbourg,True
1,2,female,5.0,1,2,27.75,Southampton,False
0,3,male,11.0,5,2,46.9,Southampton,False
0,3,male,22.0,0,0,7.2292,Cherbourg,True
0,1,male,45.0,1,0,83.475,Southampton,False
0,3,male,4.0,3,2,27.9,Southampton,False
0,1,male,29.809792899408283,0,0,27.7208,Cherbourg,True
1,3,male,29.809792899408283,1,1,15.2458,Cherbourg,False
1,2,female,29.0,0,0,10.5,Southampton,True
0,3,male,19.0,0,0,8.1583,Southampton,True
1,3,female,17.0,4,2,7.925,Southampton,False
0,3,male,26.0,2,0,8.6625,Southampton,False
0,2,male,32.0,0,0,10.5,Southampton,True
0,3,female,16.0,5,2,46.9,Southampton,False
0,2,male,21.0,0,0,73.5,Southampton,True
0,3,male,26.0,1,0,14.4542,Cherbourg,False
1,3,male,32.0,0,0,56.4958,Southampton,True
0,3,male,25.0,0,0,7.65,Southampton,True
1,2,male,0.83,0,2,29.0,Southampton,False
1,3,female,30.0,0,0,12.475,Southampton,True
0,3,male,22.0,0,0,9.0,Southampton,True
1,3,male,29.0,0,0,9.5,Southampton,True
