title,rating
"1,000 Places to See Before You Die",5
A Time of Torment (Charlie Parker #14),5
What Happened on Beale Street (Secrets of the South Mysteries #2),5
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),5
The Silkworm (Cormoran Strike #2),5
The Girl You Lost,5
A Flight of Arrows (The Pathfinders #2),5
Mrs. Houdini,5
The Passion of Dolssa,5
Voyager (Outlander #3),5
The Red Tent,5
Between Shades of Gray,5
While You Were Mine,5
A Spy's Devotion (The Regency Spies of London #1),5
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,4
A Year in Provence (Provence #1),4
Sharp Objects,4
The Past Never Ends,4
The Murder of Roger Ackroyd (Hercule Poirot #4),4
Murder at the 42nd Street Library (Raymond Ambler #1),4
Delivering the Truth (Quaker Midwife Mystery #1),4
The Mysterious Affair at Styles (Hercule Poirot #1),4
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),4
The Marriage of Opposites,4
A Paris Apartment,4
World Without End (The Pillars of the Earth #2),4
Lost Among the Living,4
See America: A Celebration of Our National Parks & Treasured Sites,3
Under the Tuscan Sun,3
Neither Here nor There: Travels in Europe,3
Poisonous (Max Revere Novels #3),3
Most Wanted,3
Boar Island (Anna Pigeon #19),3
Playing with Fire,3
The Exiled,3
Extreme Prey (Lucas Davenport #26),3
The Girl In The Ice (DCI Erika Foster #1),3
Blood Defense (Samantha Brinkman #1),3
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,3
Glory over Everything: Beyond The Kitchen House,3
The Constant Princess (The Tudor Court #1),3
The Secret Healer,3
Starlark,3
It's Only the Himalayas,2
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,2
A Summer In Europe,2
The Last Mile (Amos Decker #2),2
A Study in Scarlet (Sherlock Holmes #1),2
The Widow,2
In the Woods (Dublin Murder Squad #1),2
Career of Evil (Cormoran Strike #3),2
"Love, Lies and Spies",2
Lilac Girls,2
The Last Painting of Sara de Vos,2
Girl in the Blue Coat,2
The Great Railway Bazaar,1
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),1
"In a Dark, Dark Wood",1
A Murder in Time,1
That Darkness (Gardiner and Renner #1),1
Tastes Like Fear (DI Marnie Rome #3),1
Hide Away (Eve Duncan #20),1
The Cuckoo's Calling (Cormoran Strike #1),1
1st to Die (Women's Murder Club #1),1
Tipping the Velvet,1
The House by the Lake,1
The Invention of Wings,1
Girl With a Pearl Earring,1
The Guernsey Literary and Potato Peel Pie Society,1
