title,price_inr,rating,category_name
It's Only the Himalayas,4765.435,2,Travel
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,5214.865,4,Travel
See America: A Celebration of Our National Parks & Treasured Sites,5155.785,3,Travel
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,3897.1699999999996,2,Travel
Under the Tuscan Sun,3938.3149999999996,3,Travel
A Summer In Europe,4677.870000000001,2,Travel
The Great Railway Bazaar,3221.97,1,Travel
A Year in Provence (Provence #1),6000.84,4,Travel
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),2448.655,1,Travel
Neither Here nor There: Travels in Europe,4109.225,3,Travel
"1,000 Places to See Before You Die",2751.4399999999996,5,Travel
Sharp Objects,5045.01,4,Mystery
"In a Dark, Dark Wood",2070.9649999999997,1,Mystery
The Past Never Ends,5960.75,4,Mystery
A Murder in Time,1755.52,1,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),4652.55,4,Mystery
The Last Mile (Amos Decker #2),5719.155,2,Mystery
That Darkness (Gardiner and Renner #1),1468.56,1,Mystery
Tastes Like Fear (DI Marnie Rome #3),1127.7949999999998,1,Mystery
A Time of Torment (Charlie Parker #14),5100.925,5,Mystery
A Study in Scarlet (Sherlock Holmes #1),1765.015,2,Mystery
Poisonous (Max Revere Novels #3),2827.4,3,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),5734.98,4,Mystery
Most Wanted,3722.04,3,Mystery
Hide Away (Eve Duncan #20),1249.12,1,Mystery
Boar Island (Anna Pigeon #19),6275.139999999999,3,Mystery
The Widow,2875.9300000000003,2,Mystery
Playing with Fire,1446.4050000000002,3,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),2676.5350000000003,5,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),5517.65,5,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),2203.895,4,Mystery
The Mysterious Affair at Styles (Hercule Poirot #1),2616.4,4,Mystery
In the Woods (Dublin Murder Squad #1),4049.09,2,Mystery
The Silkworm (Cormoran Strike #2),2431.775,5,Mystery
The Exiled,4583.975,3,Mystery
The Cuckoo's Calling (Cormoran Strike #1),2026.6550000000002,1,Mystery
Extreme Prey (Lucas Davenport #26),2679.7,3,Mystery
Career of Evil (Cormoran Strike #3),2607.96,2,Mystery
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),6087.35,4,Mystery
The Girl You Lost,1296.5949999999998,5,Mystery
The Girl In The Ice (DCI Erika Foster #1),1672.175,3,Mystery
Blood Defense (Samantha Brinkman #1),2141.65,3,Mystery
1st to Die (Women's Murder Club #1),5694.889999999999,1,Mystery
Tipping the Velvet,5669.570000000001,1,Historical Fiction
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,3132.295,3,Historical Fiction
A Flight of Arrows (The Pathfinders #2),5858.415,5,Historical Fiction
The House by the Lake,3898.2250000000004,1,Historical Fiction
Mrs. Houdini,3191.375,5,Historical Fiction
The Marriage of Opposites,2962.4399999999996,4,Historical Fiction
Glory over Everything: Beyond The Kitchen House,4836.120000000001,3,Historical Fiction
"Love, Lies and Spies",2168.025,2,Historical Fiction
A Paris Apartment,4115.554999999999,4,Historical Fiction
Lilac Girls,1823.0400000000002,2,Historical Fiction
The Constant Princess (The Tudor Court #1),1753.41,3,Historical Fiction
The Invention of Wings,3939.3700000000003,1,Historical Fiction
World Without End (The Pillars of the Earth #2),3478.335,4,Historical Fiction
The Passion of Dolssa,2987.76,5,Historical Fiction
Girl With a Pearl Earring,2824.235,1,Historical Fiction
Voyager (Outlander #3),2222.885,5,Historical Fiction
The Red Tent,3762.1299999999997,5,Historical Fiction
The Last Painting of Sara de Vos,5860.525,2,Historical Fiction
The Guernsey Literary and Potato Peel Pie Society,5225.415,1,Historical Fiction
Girl in the Blue Coat,4940.565,2,Historical Fiction
Between Shades of Gray,2193.345,5,Historical Fiction
While You Were Mine,4359.26,5,Historical Fiction
The Secret Healer,3646.0800000000004,3,Historical Fiction
Starlark,2725.0649999999996,3,Historical Fiction
Lost Among the Living,2922.35,4,Historical Fiction
A Spy's Devotion (The Regency Spies of London #1),1790.3349999999998,5,Historical Fiction
